TWName,TMDBID
橄欖樹下的情人,47104
生生長流,83761
我不是英雄,672208
風帶著我來 數位修復版,Not Found
贖罪風暴,669401
禁止下錨+海中網+妹妹+庭中有奇樹,Not Found
沉默呼聲,888602
麥特與麥斯,519141
未來犯罪,819876
親情解鎖,554761
他奶奶的變裝皇后,740963
藥命回憶,522406
怪胎英雄：奇克探險記,778855
鬼滅之刃劇場版 無限列車篇,635302
劇場版 咒術迴戰 0,810693
航海王劇場版 : 紅髮歌姬,900667
名偵探柯南 萬聖節的新娘,903939
刀劍神域劇場版 –Progressive- 無星夜的詠嘆調 ,761898
刀劍神域劇場版 –Progressive- 陰沉薄暮的詼諧曲,893712
蠟筆小新：幽靈忍者珍風傳,955666
紫羅蘭永恆花園電影版,533514
普羅米亞,553600
蠟筆小新：謎案！天下春日部學院的怪奇事件,795564
關於我轉生變成史萊姆這檔事劇場版 紅蓮之絆篇,876792
餘命10年,876797
神隱少女,129
我的英雄學院劇場版：世界英雄任務,768744
角落小夥伴電影版：藍色月夜的魔法之子,877840
龍貓,8392
通往夏天的隧道，再見的出口,916192
七龍珠超：超級英雄,610150
電影版 如果30歲還是處男，似乎就能成為魔法師,926916
電影哆啦A夢：大雄的宇宙小戰爭 2021,782054
新‧超人力霸王,634429
藍色恐懼：4K數位修復版,Not Found
在車上,758866
天空之城,10515
電影版 搖曳露營△ ,566466
嵐 5x20演唱會電影～回憶全記錄～,Not Found
輝夜姬想讓人告白－永不結束的初吻,997317
擅長捉弄人的高木同學劇場版,938567
劇場版 五等分的新娘,820067
即使，這份戀情今晚會從世上消失,977871
破案天才伽利略：沉默的遊行,956564
《屁屁偵探: 舒芙蕾島的秘密》,843247
Fate/Grand Order -終局特異點 冠位時間神殿所羅門-,829920
名偵探柯南：大怪獸哥梅拉VS假面超人,925492
《少女與戰車 最終章》第1+2話,Not Found
東京教父:4K數位修復版,Not Found
寶可夢：皮卡丘與可可的冒險 ,662708
我讓最想被擁抱的男人給威脅了 劇場版～西班牙篇～,820530
偶然與想像,795811
劇場版FREE! 男子游泳部–the Final Stroke–後篇,823417
迴咒師ー塩子的誕生,1022197
《少女與戰車 最終章》 第3話,746880
劇場版 歌之☆王子殿下♪真愛KINGDOM,582666
假面飯店2：假面之夜 ,824202
灌籃高手 THE FIRST SLAM DUNK,783675
劇場版FREE! 男子游泳部–the Final Stroke–前篇,738091
劇場版 歌之☆王子殿下♪ 真愛ST☆RISH TOURS,Not Found
犬王,642538
電影版 昨日的美食,824362
電影版 99.9 不可能的翻案,923526
讓我聽見愛的歌聲,741335
電影版 DEEMO 櫻色旋律 —你所彈奏的琴音 至今仍在迴響—,Not Found
魔仿犯,808667
極速甩尾,983866
魔法水果籃 -前奏曲-,896499
牛首村,854006
北齋：浮世繪傳奇,698215
特『刀劍亂舞-花丸-』～雪之卷～,978039
電影版 奇巧計程車：撲朔謎林,Not Found
花束般的戀愛,695932
天使降臨到我身邊！珍貴的朋友,966709
假面騎士劇場版　對決！超越新世代,Not Found
