movie_id,Name_id,name,Actor,Director
893030,4467121,"Má A Cớ",Yes,No
717694,1421792,"Noël Czuczor",Yes,No
717694,2692286,"Peter Ondrejička",Yes,No
717694,10727,"John Hannah",Yes,No
717694,553063,"Wojciech Mecwaldowski",Yes,No
717694,1573859,"Jacek Beler",Yes,No
588890,2143522,"Pavlína Skružná",Yes,No
588890,1247355,"Matouš Ruml",Yes,No
588890,544276,"Martin Stránský",Yes,No
588890,83878,"Barbora Hrzánová",Yes,No
588890,97192,"Martha Issová",Yes,No
725133,96381,"Ivan Trojan",Yes,No
725133,30737,"Bolek Polívka",Yes,No
725133,97193,"Eva Holubová",Yes,No
725133,229680,"Ivana Chýlková",Yes,No
725133,136806,"Jana Plodková",Yes,No
796151,3111695,"Zhiny Ooi",Yes,No
796151,856126,"Pete Teo",Yes,No
796151,1197916,"Tan Chui Mui",Yes,Yes
796151,562217,"Bront Palarae",Yes,No
796151,168165,"James Lee",Yes,No
588921,2907001,"Lola Raie",Yes,No
588921,554413,"Alejandra Gollas",Yes,No
588921,7572,"Thom Hoffman",Yes,No
588921,1346997,"Bernardo de Paula",Yes,No
588921,1305667,"Dino Andrade",Yes,No
763539,1214551,"Tyler Bunch",Yes,No
763539,67940,韋恩·格雷森,Yes,No
763539,1137368,"Alyson Leigh Rosenfeld",Yes,No
763539,1960184,"Billy Bob Thompson",Yes,No
763539,111526,"Tom Wayland",Yes,No
913760,3192676,"Oksana Cherkashyna",Yes,No
913760,3218149,"Serhii Shadrin",Yes,No
913760,1624799,"Oleh Scherbyna",Yes,No
913760,3487349,"Oleh Shevchuk",Yes,No
913760,3487350,"Artur Aramyan",Yes,No
810406,2595502,"วชิรวิชญ์ ชีวอารี",Yes,No
810406,2595500,"เมธวิน โอภาสเอี่ยมขจร",Yes,No
810406,2073908,"สัตบุตร แลดิกี",Yes,No
810406,2073909,"ธนัตถ์ศรันย์ ซำทองไหล",Yes,No
810406,2653295,"ชินรัฐ สิริพงษ์ชวลิต",Yes,No
939879,2424462,"ปาณิสรา ริกุลสุรกาน",Yes,No
939879,2162309,"แพรวา สุธรรมพงษ์",Yes,No
939879,3246083,"Nattamon Chokejindachai",Yes,No
939879,2668035,"Thamrong Cunpisut",Yes,No
939879,3606502,"Isariya Chanopala",Yes,No
947514,1872288,"กรภัทร์ เกิดพันธุ์",Yes,No
947514,2131509,"เฌอปราง อารีย์กุล",Yes,No
947514,2430105,"ศดานนท์ ดุรงคเวโรจน์",Yes,No
947514,76477,"นพพันธ์ บุญใหญ่",Yes,No
947514,3514165,"Pinthip Orachorn",Yes,No
949697,1292043,"Mike Angelo",Yes,No
949697,2763423,"Chanya McClory",Yes,No
949697,1051833,"David Asavanond",Yes,No
949697,1027750,"ปรเมศร์ น้อยอ่ำ",Yes,No
949697,3389839,"Kulteera Yordchang",Yes,No
937743,3467560,"Witthawat Rattanaboonbaramee",Yes,No
937743,1343666,"ภูริพรรธน์ เวชวงศาเตชาวัชร์",Yes,No
937743,1832785,"พีรวิชญ์ อรรถชิตสถาพร",Yes,No
937743,2674888,"Chanatip Phothongka",Yes,No
937743,3186387,"Khunnapat Pichetworawut",Yes,No
922378,931444,"พชร จิราธิวัฒน์",Yes,No
922378,2262810,"Phantira Pipityakorn",Yes,No
922378,2100736,"ณัฏฐ์ กิจจริต",Yes,No
922378,1259493,"Esther Supreeleela",Yes,No
922378,3627553,"Achira Theriault",Yes,No
511819,3063,蒂妲·史雲頓,Yes,No
511819,2126734,"Agnes Brekke",Yes,No
511819,1603,"Daniel Giménez Cacho",Yes,No
511819,2893050,"Jerónimo Barón",Yes,No
511819,1919397,"Juan Pablo Urrego",Yes,No
38368,557875,"Thanapat Saisaymar",Yes,No
38368,120258,"Jenjira Pongpas",Yes,No
38368,69758,"Sakda Kaewbuadee",Yes,No
38368,557876,"Natthakarn Aphaiwonk",Yes,No
38368,1498159,"Geerasak Kulhong",Yes,No
947049,1343178,"พิชญะ นิธิไพศาลกุล",Yes,No
947049,3214177,"Dhanantorn Neerasingh",Yes,No
947049,1956192,"Gena Desouza",Yes,No
947049,2879536,"ศุภชัย สุวรรณอ่อน",Yes,No
947049,1191895,"พงศ์เทพ อนุรัตน์",Yes,No
660942,2946554,"Rakel Lenora Fløttum",Yes,No
660942,2946555,"Alva Brynsmo Ramstad",Yes,No
660942,2946556,"Sam Ashraf",Yes,No
660942,2946557,"Mina Yasmin Bremseth Asheim",Yes,No
660942,79331,"Ellen Dorrit Petersen",Yes,No
654074,2079854,克里斯蒂娜·許亞特·托爾普,Yes,No
654074,1719168,"Nader Khademi",Yes,No
654074,74721,"Arthur Berning",Yes,No
654074,2476955,"Tora Christine Dietrichson",Yes,No
654074,1840963,"Silya Nymoen",Yes,No
831031,1349186,"Xu Shouli",Yes,No
831031,1398032,"Xin Jin",Yes,No
848788,3164683,"Louise Wong",Yes,No
848788,2217481,劉俊謙,Yes,No
848788,1638505,"Fish Liew",Yes,No
848788,78875,古天樂,Yes,No
848788,83820,林家棟,Yes,No
513692,1341,甄子丹,Yes,No
513692,70106,謝霆鋒,Yes,No
513692,1018709,秦嵐,Yes,No
513692,78877,呂良偉,Yes,No
513692,80374,譚耀文,Yes,No
543504,940339,劉青雲,Yes,No
543504,89409,林峯,Yes,No
543504,64434,蔡卓妍,Yes,No
543504,1183237,譚凱,Yes,No
543504,110845,李若彤,Yes,No
640092,21908,郭富城,Yes,No
640092,148886,萬梓良,Yes,No
640092,56863,楊千嬅,Yes,No
640092,118350,張達明,Yes,No
640092,1035980,鮑起靜,Yes,No
18329,1337,梁朝偉,Yes,No
18329,69637,張國榮,Yes,No
18329,1622,張震,Yes,No
18329,133825,"Gregory Dayton",Yes,No
18311,69637,張國榮,Yes,No
18311,25246,劉德華,Yes,No
18311,1338,張曼玉,Yes,No
18311,12672,劉嘉玲,Yes,No
18311,25245,張學友,Yes,No
68883,44917,梅艷芳,Yes,No
68883,69637,張國榮,Yes,No
68883,148886,萬梓良,Yes,No
68883,69638,朱寶意,Yes,No
68883,227780,溫碧霞,Yes,No
851800,110847,黃子華,Yes,No
851800,1202564,張繼聰,Yes,No
851800,2557400,"Peter Chan Charm-man",Yes,No
851800,78252,鄧麗欣,Yes,No
851800,1286615,王菀之,Yes,No
591222,83820,林家棟,Yes,No
591222,1397017,劉雅瑟,Yes,No
591222,543138,"Mason Lee",Yes,No
591222,234641,池内博之,Yes,No
591222,1143687,"Sammy Sum Chun-Hin",Yes,No
436792,1672870,"Guo Shutong",Yes,No
436792,116636,郭曉東,Yes,No
436792,27084,"Yu Nan",Yes,No
436792,1174685,周一圍,Yes,No
436792,146098,"Zhang Yi",Yes,No
814785,78875,古天樂,Yes,No
814785,1140044,鄭嘉穎,Yes,No
814785,144860,張智霖,Yes,No
814785,230777,"Jessica Hester Hsuan",Yes,No
814785,21912,謝天華,Yes,No
68004,122818,吳啟華,Yes,No
68004,1338,張曼玉,Yes,No
68004,12672,劉嘉玲,Yes,No
68004,56861,梁家輝,Yes,No
68004,1081494,陳燕燕,Yes,No
11471,69636,狄龍,Yes,No
11471,1619,周潤發,Yes,No
11471,69637,張國榮,Yes,No
11471,69638,朱寶意,Yes,No
11471,25249,李子雄,Yes,No
851798,3140188,吕爵安,Yes,No
851798,78257,鄭中基,Yes,No
851798,65938,梁詠琪,Yes,No
851798,88495,吳君如,Yes,No
851798,1813253,袁澧林,Yes,No
10997,69637,張國榮,Yes,No
10997,65277,張豐毅,Yes,No
10997,643,"Gong Li",Yes,No
10997,67765,陸奇,Yes,No
10997,109436,"Ying Da",Yes,No
942171,70590,毛舜筠,Yes,No
942171,3185076,姜濤,Yes,No
942171,3438780,柳應廷,Yes,No
942171,1266156,岑珈其,Yes,No
942171,137143,羅永昌,Yes,No
