id,name,movie_id
1730474,Chan Tze-Woon,924120
96856,Yonfan,616020
1553944,Lam Sum,957861
134851,云翔,1002317
66718,麥兆輝,10775
65994,劉偉強,10775
3713690,賈勝楓,1027944
3639307,Ho Cheuk-Tin,1005259
1376363,Amos Why,898009
1002598,Jason Kwan,999056
134851,云翔,1002318
65994,劉偉強,11647
66718,麥兆輝,11647
96856,Yonfan,27060
65994,劉偉強,14310
66718,麥兆輝,14310
123199,Ann Hui,72445
2972234,Kelvin Shum,1147689
2054461,Mo Lai Yan Chi,1063554
2221769,Sunny Lau,1177518
1571470,Frank Hui,988900
1143699,Daniel Chan Yee-Heng,988900
1789105,Doris Wong Chin Yan,988900
956,Guy Ritchie,882569
2070452,Michael Philippou,1008042
2070453,Danny Philippou,1008042
1904110,Charlotte Wells,965150
46230,大島渚,11948
56370,Ruben Östlund,497828
3122176,Rhys Frake-Waterfield,980078
57917,Toby Genkel,676710
8965,Roland Joffé,11416
166995,Andrew Levitas,560008
15389,Louis Malle,11012
43553,Jerzy Skolimowski,785398
69346,Sigrid Faltin,1104840
8557,費南多.梅瑞爾斯,89455
206161,Celyn Jones,787791
460,Tom Stern,787791
224,David Cronenberg,48231
4786,Richard Attenborough,10435
36693,Richard Eyre,11889
26481,Anand Tucker,46992
16785,Peter Webber,3635
468,Stephen Daldry,71
1674275,Georgia Oakley,971699
58021,Tinto Brass,28468
240,史丹利·庫柏力克,935
2710,詹姆斯·卡麥隆,76600
9033,克里斯多福·麥奎里,575264
1719706,Aaron Horvath,502356
113901,Michael Jelenic,502356
40644,Chad Stahelski,603692
525,克里斯多夫·諾蘭,872585
45400,Greta Gerwig,346698
1551545,Steven Caple Jr.,667538
59521,Jaume Collet-Serra,436270
1113116,Andy Muschietti,298618
40684,大衛·雷奇,718930
2451598,Kemp Powers,569094
1046497,Justin K. Thompson,569094
89596,Joaquim Dos Santos,569094
21198,彼德·松,976573
52935,John Francis Daley,493529
1236679,Jonathan Goldstein,493529
101666,Paul King,787699
1317730,丹尼爾舒奈特,545611
1383612,關家永,545611
10943,Francis Lawrence,695721
20907,安東尼·福奎阿,926393
