,Year,MovieId,Name,tmdb_id,tmdb_tw_name
598,2022,22114,劇場版超時空要塞F~虛空歌姬~,,
599,2022,20170,GIVEN~被贈與的未來劇場版：反面的存在,,
601,2022,20766,愛國女子─紅武士道,,
602,2022,20715,接棒家族,,
603,2022,20631,燃燒的劍,,
605,2022,22229,劇場版超時空要塞F~戀離飛翼~,,
607,2022,21058,輪到你了劇場版,,
608,2022,20541,那些得不到保護的人,,
609,2022,22005,如月車站,,
611,2022,22378,電影版後空翻少年!!,,
612,2022,19264,鹿王,,
614,2022,22174,極道主夫電影版,,
615,2022,20993,漁港的肉子,,
616,2022,14034,今天也要用便當出擊,,
617,2022,21441,再見了，橡果兄弟！－奇蹟的暑假－,,
618,2022,22197,萌男友是柑橘色,,
619,2022,20374,花與愛麗絲：數位修復版,,
620,2022,20520,夏日幽靈,,
621,2022,21627,xxxHOLiC次元魔女,,
622,2022,20047,青春特調蜂蜜檸檬蘇打,,
623,2022,21933,末日救世主,,
624,2022,22960,天才狂歡派對：首部曲,,
625,2022,21710,婚顧女王,,
627,2022,9952,睡著也好醒來也罷,,
628,2022,21589,怪獸死了怎麼辦,,
629,2022,21707,太陽與波麗露,,
630,2022,20301,鳩的擊退法,,
631,2022,22350,Ｎ号棟鬧鬼,,
632,2022,22801,大逃殺4K數位修復版,,
634,2022,23040,葬禮,,
635,2022,22504,麵包超人電影版：多洛林與妖怪嘉年華,,
636,2022,23041,蒲公英,,
641,2022,18228,歡樂時光（上）,,
642,2022,18705,燕尾蝶：數位經典版,,
644,2022,22961,天才狂歡派對：最終章,,
645,2022,20552,魔神英雄傳七魂的龍神丸-再會-,,
646,2022,23363,劇場版弦音─初始的一射─,,
647,2022,23384,TANG,,
648,2022,22508,救救旱鴨子,,
649,2022,18231,歡樂時光（下）,,
650,2022,20125,電影版狂賭之淵2：絕體絕命俄羅斯輪盤,,
652,2022,20101,沒說出口的殺人告白,,
655,2022,20779,妖獸都市1987劇場版,,
656,2022,20983,鳶,,
658,2022,20919,第一人夫,,
659,2022,20653,輝耀姬物語(日文版),,
660,2022,21386,熊貓家族+熊貓家族-雨中的馬戲團,,
661,2022,21354,龍馬！新生網球王子劇場版（決勝版）,,
662,2022,21382,龍馬！新生網球王子劇場版（榮耀版）,,
663,2022,20696,Fate/staynight-無限劍製,,
664,2022,19788,劇場版信號：長期未解決事件搜查班,,
665,2022,21315,偷情連載中,,
666,2022,20936,兒時的點點滴滴(日文版),,
667,2022,21393,噪音,,
668,2022,22503,調職令是警察樂隊！,,
669,2022,21350,劇場版「黃金拼圖Thankyou！！」,,
671,2022,21020,平成狸合戰(日文版),,
672,2022,20295,月影,,
673,2022,23264,魔幻時刻,,
674,2022,20193,四季拉麵物語,,
676,2022,20951,露草,,
677,2022,19061,總編的復仇,,
678,2022,22882,好想傳達你的聲音,,
679,2022,22244,我想被高中女生殺死,,
680,2022,21624,只是現在不走運而已,,
681,2022,23114,修羅天魔~骷髏城之七人．極（新感線舞台劇）,,
682,2022,18685,告白,,
683,2022,20699,聖地X,,
684,2022,18812,瀧澤歌舞伎ZERO2020THEMOVIE,,
685,2022,22421,戀之光,,
