adult,gender,id,known_for_department,name,original_name,popularity,profile_path,credit_id,department,job,movie_id
False,2,20640,Directing,陳凱歌,陈凯歌,5.764,/knMuFWDYEKI38wLJQCr5rssyrbA.jpg,52fe43df9251416c7502162d,Directing,Director,10997
False,1,999463,Writing,Kearen Pang,Kearen Pang,0.51,/nuLSfiQlvSYjnxNLsGwgShUg3vs.jpg,621506af0bb076004300bd56,Directing,Director,942171
False,1,123199,Directing,Ann Hui,Ann Hui,3.122,/3HPHP8G9QZOtYgDwo9zqCqJmZUl.jpg,5b57d42f0e0a2673d2046522,Directing,Director,537761
False,2,62410,Acting,洪金寶,洪金寶,33.153,/odHszmZ4uj2Hj4EE03js8IsswJb.jpg,5b57d43c0e0a2673d6045ce6,Directing,Director,537761
False,2,26767,Directing,林嶺東,林嶺東,5.643,/qAuEWqf9HTrKx6a91cxoPMh78SV.jpg,5b57d4499251416dd103e61e,Directing,Director,537761
False,2,71063,Directing,Patrick Tam Kar-Ming,Patrick Tam Kar-Ming,4.689,/7QdaxdLfd9jeuIHXXSDdAocqkyK.jpg,5b57d47f9251416dc6040cc3,Directing,Director,537761
False,2,25236,Directing,杜琪峯,杜琪峯,7.57,/kc5Bs54FyXdjwZ0igPbW9X9aqS7.jpg,5b57d4910e0a2673cf0447e7,Directing,Director,537761
False,2,26760,Directing,徐克,徐克,16.403,/9WTG1Feva6S7n09dxON40KHBsuk.jpg,5b57d4990e0a2673d6045dd4,Directing,Director,537761
False,2,18899,Directing,袁和平,袁和平,12.121,/4NJRnQGrUxqbq9tcl7cpKmd17zh.jpg,5b57d4ba9251416dc6040d34,Directing,Director,537761
False,2,1730474,Directing,Chan Tze-Woon,Chan Tze-Woon,0.001,,61d8323e1c6aa70093812081,Directing,Director,924120
False,2,1135709,Acting,黃明昇,黃明昇,4.527,/r8lU3VAJEP3s3ciJe9SX97dJmaR.jpg,6211f52eaa78980042fe262b,Directing,Director,941132
False,1,103602,Directing,張婉婷,張婉婷,2.6870000000000003,/9vjoyaOxVr0a0ifLy57P8w7hV9z.jpg,52fe46c5c3a368484e0a2dd1,Directing,Director,64015
False,2,96856,Directing,Yonfan,Yonfan,1.756,/kuW8H9dcVkXn1KNdA1RBqWRZ1Y.jpg,5d2dfeb0caab6d31b298db73,Directing,Director,616020
False,2,3639307,Directing,Ho Cheuk-Tin,Ho Cheuk-Tin,0.275,/2AkX0grQZihXnEt7O8rqM6q8WoG.jpg,62e14383aa659e0055a60658,Directing,Director,1005251
False,2,96856,Directing,Yonfan,Yonfan,1.756,/kuW8H9dcVkXn1KNdA1RBqWRZ1Y.jpg,52fe452ac3a368484e04bfe5,Directing,Director,27060
False,0,3246960,Directing,Candy Ng Wing-Shan,Candy Ng Wing-Shan,0.001,,614ecce2af95900061a3b657,Directing,Director,876189
False,2,2566143,Acting,Chiu Hoi Yeung,Chiu Hoi Yeung,0.771,/f864EzfuHEEQWq2B8lgKT33hF1Q.jpg,61655b7f33ec260045702876,Directing,Director,876189
